"fk_im_spec_master_desc","fk_im_spec_options_desc"
Mounting,"Foot, Flange, Foot cum Flange, Face, Foot cum Face"
Country of Origin,Made in India
Speed,<2000 RPM
IP Rating,IP44
Usage/Application,industrial
Color,BLUE/ BLACK / SILVER
Material,Cast Iron
Power,.2.5 kw- 2000 kw
Phase,Three Phase
Brand,Kirloskar
Color,Grey
Finishing,Color Coated
Material,Cast  Iron
Number Of Poles,"2"
Usage/Application,Industrial Machine
Mounting Type,"Foot, Flange, foot cum flange Mount"
Warranty,"1 year"
Frequency,"50 Hz"
Lead Wires,"6"
I Deal In,New Only
Usage/Application,Industrial And Agriculture
Frequency,"50 Hz"
Type of end use,Industrial
Type of end use,Domestic
Installation/After Sales Service,Yes
Number Of Poles,"4"
Frequency,"50 Hz"
Number Of Poles,"2"
Frequency,"50 Hz"
Usage/Application,Industrial
Material,Cast Iron
Usage/Application,Industrial
Capacity,"2.4 kw"
Motor Type,"3 Phase AC"
Power Source,Electric
Phase,Single Phase
Automation Grade,Automatic
Frequency,"50 Hz"
Country of Origin,Made in India
Size,"17X14X12(LXWXB)"
Finishing,Color Coated
Material,Mild Steel
Pressure,"2500Psi"
Material,Mild Steel
Number Of Poles,"4 POLE / 2 POLE / 6 POLE"
Speed,"2000-6000 RPM"
Speed,"6001-10000 RPM"
Number Of Poles,"2,4,6 AND 8"
Material,AL/CI
Country of Origin,Made in India
Speed,"500-1500 RPM"
Speed,"2000-6000 RPM"
Voltage,"220 V"
Speed,<2000 RPM
grey,all
Power  Source,Electric
Power,"1 HP"
Power Source,Electric
No of Poles,"6"
Current,"0.8 Amps"
Finish Type,Color Coated
Voltage,"220V"
Frequency,"50Hz"
Power,"440"
Motor Brand,Crompton Greaves
Brand,Schneider Electric
IP Rating,IP44
Motor Voltage,"380 V"
Class,F
Body Material,MS
Surface Finish,Color Coated
Voltage,"220V"
HP,"1.5"
Pipe Size,"25 x 25 mm"
Speed,"2880 rpm"
Brand,Usha
Pipe Size,"15 X 15 mm"
Head Range,"6 to 24 m"
Discharge In LPH,"1600 to 660"
Type of Motor,Ferrari 458 Motor 201 44790 Kilometer 284069 Complete Engine
Brand,Siemens
Power,"101-200 KW"
Power,"300 KW"
Phase,Three Phase
No of Poles,"10"
No of Poles,"6"
Automation Grade,Manual
Color,"Black,Blue,Grey"
Maximum Discharge Flow,Less than 100 LPM
Rated Power,"101-200 KW"
Rated Power,"201-300 KW"
Cooling Method,Water Cooled
Motor Horsepower,"0.5 HP"
Motor Horsepower,"1 HP"
Motor Horsepower,"3 HP,5 HP,6.5 HP,8 HP,10 HP"
Material of Construction,Cast Iron
Material of Construction,Steel
Voltage,"220 V"
Power,"300 KW"
Voltage,"12V - 24V - 36V - 48V - 90V - 110V - 180V - 220V"
Protection,"IP-20, IP-44, S1, S2, S3, Duty cycle"
Power (HP),"1000HP"
Phase,Single Phase
Power,"1.5 kW"
Power,"3 hp"
Power,"7.5 hp"
Power,"1 HP"
Power,"1.5 Hp"
Power,"7.5 hp"
Power,"7.5 hp"
Power,"400 HP"
Type,AC
Horsepower,"3 HP"
Usage/Application,Industrial
Phase,Single Phase
Phase,Three Phase
Phase,THREE PHASE
Brand,Mitsubishi
Type,AC
Ambient Temperature,"0-52 Deg C"
Power,"0.5 HP/0.32kW"
Material,Mild Steel
Mounting Type,Foot Mounting
Ambient Temperature,"20 Deg C to 65 Deg C"
Voltage,"440"
Power,"50 kW"
Voltage,"415 V"
Ambient Temperature,"60 Degree Celsius"
Gear Type,Helical
Motor Horsepower,"3HP"
Material,"Cast Iron , Aluminium"
Speed,"960/1440/2800 RPM"
Voltage,"415V"
Usage/Application,Industrial
Power,"101-200 KW"
Phase,Three Phase
Power,"10-100 KW"
Mounting Type,Flange
Material,Copper
Phase,Single Phase
Speed,"2000-6000 RPM"
Type,AC
Material,MS
IP Rating,IP55
Phase,"3 Phase"
Brand,OME
Phase,Single Phase
Speed,"2000 RPM"
Mounting Type,Foot Mounted
Power,"2 HP"
Type,AC
Type,AC
Voltage,"220 V"
Speed,<2000 RPM
Phase,"3"
Speed,"2000-6000 RPM"
Ambient Temperature,"4000"
Power,"0.75 kW"
Mounting Type,Foot
Power,"10-100 KW"
Ambient Temperature,Not Fix
Power,"5 HP"
Power,<10 KW
Usage/Application,Industrial
Rated Power,"0.25 To 1400 HP"
Air Volume,"3000 Cfm"
Brand,UMA Electric
Shape,Rectangular
Horsepower,"1 HP"
Speed,>14000 RPM
Brand,TRT
Speed,"2000 RPM"
Phase,Single
Horsepower,"1 HP"
No. of Poles,"4"
Brand,Rado
Material,Mild Steel
Usage/Application,Industrial
Product Type,Booster Pump
Speed,"1000 rpm"
Voltage,"415 V"
Phase,Three
Speed,"2000-6000 RPM"
Speed,"1100 RPM"
Phase,SIngle
Voltage,"240"
Brand,Priti Electricals
Number of Ways,"6-Way"
Finishing,Matte
Frame,Cast Iron
Insulation Type,Class H
Current,"1450 Amp"
Speed,<2000 RPM
Speed,"2000-6000 RPM"
Features,Crack Resistant
Surface Finish,Powder Coated
Usage/Application,Industrial
Bearing Lubrication,Permanent
Usage/Application,Industrial
Frame Size,"63z TO 355L"
Duty,"S1,S2,S3 and S4"
Material,Cast Iron
Number Of Poles,"2 ,4,6,8 poles"
Features,IE2 STD
Shape,"Round ,Square Etc"
Frequency,"50 Hz"
Automation Grade,Automatic
Material,Mild Steel
Number Of Poles,"2"
Number Of Poles,"2"
Pressure,"2500Psi"
Color,Green
Number Of Poles,"2"
Surface Treatment,Paint Coated
Number Of Poles,"2"
Number Of Poles,"2"
Number Of Poles,"4"
Usage/Application,Industrial
Design Type,Centrifugal
Dimensions,"20 x 22 x 22 Centimeters"
Size,"26 x 12 inch (LxW)"
Country of Origin,Made in India
Centrifugal Force,yes
I Deal In,New Only
Country of Origin,Made in India
Mounting,FOOT / FLANGE / FOOT CUM FLANGE / FACE
Terminal Box Location,Top
Number Of Poles,"2"
Shape,Round (Head)
Usage/Application,Textile Industry
Size,"18X16X12(LXWXB)"
Surface Treatment,Color Coated
Number Of Poles,"4"
Material,Copper(Binding)
IP Rating,IP45
Motor Type,AC
Frequency,"50 Hz"
IP Rating,IP45
No of Phase,Three Phase
Number Of Poles,"Available in 2,4"
IP Rating,"55 (As per IS4691)"
Insulation Class,Class F
Installation After Sales Service,Yes
Material,Cast Iron
Frequency,"50 Hz"
Warranty,AS Per Company Norms
AMC,Yes
Frame Size,Up to 180
Finishing,polished
Frequency,"50 Hz"
IP Rating,IP 55
Surface Treatment,"Color ,Powder coating"
Size,"6inch (L)"
Frame,"90 f"
Frame Size,"200L"
Polarity,"4,6,8"
Protection,IP55
Power,Customize
Power,"10-100 KW"
Motor Type,DC
Usage/Application,Industrial
Power Source,Electric
Power,"1.1 KW"
Motor Type,Electric Motor
Rated Voltage,"230 V"
Brand,Boshco
I Deal In,New Only
Size,standard
Working Moments,Standard
I Deal In,New Only
I Deal In,New Only
Power,"5 HP / 7.5 HP"
Frequency,"50 Hz"
Phase,Three Phase
Material Grade,EN24
Frequency,"50Hz"
Power Source,Electric
IP Rating,ip44 & ip54
Horse Power,"3 HP"
Power Source,Electric
Brand,Impel Motors
Voltage,"240 V"
Phase,Single
Engine Type,Petrol Engine
Displacement,"118 cc"
Fuel Capacity,"2.5 Litres"
Lubrication System,Splash
Net Power Output,"1.98 kW"
POLE,"2"
MOUNTING,FOOT
Voltage,"220 V"
Type,Industrial AC Motor
Suitable,For	Industries
Phase,"3 Phase"
Power,"1.1 KW"
Phase,Single Phase
Phase,Three
Phase,THREE PHASE / 3 PHASE /1 PHASE
Brand,Balaji Engineering
Country of Origin,Made in India
Speed,"3000 rpm"
Horsepower,"1.5 HP"
No. of Poles,"2"
Voltage,"415 V"
Power Rating,"2.2 kW"
Phase,Three Phase
Winding Material,Aluminium
Speed (in RPM),"960 RPM"
Power (in HP),"2 HP"
Power Rating,"5.5 kW"
Power Rating,"3.7 kW"
Phase,Single Phase
Motor Type,AC Induction
Motor Poles,"2 Pole"
Mounting Type,Foot Mounted
Efficiency Class,IE2
Speed,"1300-1500 RPM"
Voltage,"440 V"
No of Poles,"2, 4, 6, 8, 10"
Mount Type,Flange Mount
Power Source,Electric
Blower Type,Centrifugal Blower
Frequency,"55Hz"
Voltage,"240V"
Voltage,"220 - 380 V"
Phase,Three Phase
Material,Cast Iron
Application,"Transfer car, Wheel, Sprocket, Roller conveyor, Pulley, Drum, Gear"
Frequency,"50Hz"
Output power Continues,Up to 2.4 Hp
Surface Finish,Polished
Phase,"3 Phase"
Speed,"1440 RPM"
Power,"5HP"
Brand,Leader
Voltage,"220 V"
Power,"0.5 A"
Rated Power,"10-100 KW"
Motor Phase,Single Phase
Cooling Method,Air Cooled
Motor Voltage,"220 V"
Number of Stops,"5-10"
Type of Motor,DC
Power,<10 KW
Power,"10-100 KW"
No of Poles,"8"
Brand,Crompton
Brand,ABB
Brand,Hindustan
Voltage,"240 V"
No. of Poles,"4"
Mounting Type,Flange
Voltage,"220 V"
Speed,"2000 RPM"
Speed,"1400RPM/2800 RPM"
Type,ALUMINIUM / CASTING
Brand,UNICORN
Motor Speed,"2880 RPM"
Speed,"750 rpm"
No. of Poles,"4"
Voltage,"220 V"
Mounting Type,Foot
Speed,<2000 RPM
Type,Copper Motor
Brand,"SIEMENS ,,,ABB,,,,,CROMPTON"
Frequency,"50 Hz"
Material,Mild Steel
Frequency,"50 Hz"
Material,Aluminium
Country of Origin,Made in India
Material,Mild Steel
Features,MS BODY
Number Of Poles,"4"
Country of Origin,Made in India
Frame Size,"90"
Shape,vrticle
Voltage,"230V"
Material,Mild Steel
Warranty,"12 months"
Power Source,Electric
Number Of Poles,"2"
Country of Origin,Made in India
Number Of Poles,"2"
Country of Origin,Made in India
Shape,Round
Country of Origin,Made in India
Material,Cast Iron
Power Source,Electric
Finishing,Color Coated
Voltage,"240V"
Power Source,Electric
Frequency,"50Hz"
Power Rating,"2.2 kW"
Phase,Three Phase
Motor Type,Stepper Motor
Material,Galvanized Iron
Speed,"1200 RPM"
Speed,"1400 RPM"
Type of Motor,AC
Ussage/Application,"Create the power to run conveyors, pumps, air moving systems, and many other needs in the toughest i"
Material Grade,MS 305
Voltage,"230V"
Brand,ABB
Power,"3 HP"
Speed,"2800 RPM"
Power,"500 KW"
Power,"1HP"
Frequency,"50Hz"
Phase,Three Phase
Type of Motor,DC
Power,<10 KW
Power,"10-100 KW"
Power,"101-200 KW"
Power,"201-300 KW"
Material,Mild Steel
Power,"3 HP"
Frequency,"50-60Hz"
Power,"10-100 KW"
Ratio,"16, 32, 55"
Available,TENV-SPDP
Mass,"1.3 kg"
Torque,"0.8 NM"
Warrenty,"1 Year"
Frequency,"50 - 60 Hz"
Surface treatment,Color Coated
Material,Mild Steel
Phase,Single Phase
Motor,"25 kg"
Material,Mild Steel
Power Supply,"230 Vac, 50/60 Hz"
Discharge In LPH,"5000 to 1900"
Head Range,"10 to 45 m"
HP,"0.5"
Color,Black
Warranty,Resale
Rated Power,<10 KW
Power Source,Electric
Motor Horsepower,"2 HP"
Usage,Industrial Use
Motor Phase,Three Phase
Color,Grey
Power,"2HP"
Usage/Application,"Create the power to run conveyors, pumps, air moving systems, and many other needs in the toughest i"
Frequency,"50Hz"
Ambient,"50 Deg C"
Voltage,"415V"
Model,"2SR2"
Power,"15.0 kW"
Material,Stainless Steel
Shape,Round
Finish,Glossy
Size (Top Diameter/Length),"4 inch (10 cm)"
Recommended Use,Indoor
Material,Metal
Motor Type,DC Motor
Power Rating,"2.2 kW"
Motor Poles,"4 Pole"
Phase,Three Phase
Number Of Poles,"6"
Country of Origin,Made in India
Frame Size,"063 to 112"
Features,"0,75 kW"
Service Factor,"1.0 / 1.25"
Horse Power,"180 hp"
Color,Green
Question,RAMDEV TRADERS
Voltage,"220V"
Voltage(V),"200-240V"
Type of Motor,AC
Phase,Three Phase
Power,"160 KW"
Power,"5  hp"
Power,"0.18 - 15KW"
Voltage,"220 V"
Type,Copper Motor
Brand,C R MOTORS
Power,<10 KW
Phase,Three Phase
Type,AC
Brand,GEM
Usage/Application,Agriculture
Current,"5A"
Phase,Triple Phase
Usage/Application,E Rrickshaw
Type,Automatic
Voltage,"230 V"
Speed,"2000-6000 RPM"
Phase,Single Phase
Brand,ABB
Usage/Application,Industrial Use
Speed,"2000-6000 RPM"
Power,<10 KW
Voltage,"220-400 V"
No of Phase,Three Phase
No. of Poles,"4"
Phase,"1/3"
Speed,<2000 RPM
Speed,"1430 RPM/960 RPM/2830RPM"
Voltage,"220 V"
Voltage,"690 V"
Phase,Single Phase
Speed,"10-300RPM"
Voltage,"415/230V"
Brand,Standard
Mounting Type,Standard
Ambient Temperature,Standard
Power,<10 KW
Ambient Temperature,"45 Degree celsius"
Speed,"3000 RPM"
Brand,LHP
Phase,Both
Voltage,Standard
Voltage,"48 V DC"
Casing Material,Aluminum
Motor Speed,"1440rpm"
Voltage,"440V"
Automation Grade,Semi Automatic
Brand,ABB
Speed,<2000 RPM
Phase,"3"
Voltage,"440"
Mounting Type,M1 - M6
Speed,<2000 RPM
Speed,"1500 rpm"
Voltage,"220 V"
Mounting Type,Foot
Features,High performance
Frame Size,standerd
Shape,Standerd
Size,as per requirement
Country of Origin,Made in India
Country of Origin,Made in India
Number Of Poles,"6"
Features,AS PER APPLICATION
Shape,TEFC
Country of Origin,Made in India
Number Of Poles,"4"
I Deal In,New Only
Speed,"2880 rpm"
Type of Motor,DC
Speed,<2000 RPM
Maximum Discharge Flow,> 5000 LPM
Discharge Outlet Size,Less than 25 mm
Frequency,"50 Hz"
Type of Motor,AC
Warranty In Months,"12"
Number Of Poles,"2"
Features,"1 HP"
Shape,FOOT
Warranty,"1 Year"
Material,MS
Type of Motor,AC
No of Phase,Single Phase
Speed,<2000 RPM
I deal in,New Only
I Deal In,New Only
Usage/Application,As per requirement
Capacity,"400 to 3000 Kg"
Shape,Cylinder
Speed,"10001-14000 RPM"
Speed,>14000 RPM
Number Of Poles,"4"
Weight,"6kg"
Frame Size,"80"
Number Of Poles,"4"
Frame Size,ALL
Frequency,"50 Hz"
Brand,SIEMENS
Phase,"1 phase and 3 phase"
Frequency,"50 Hz"
IP Rating,IP23
Frame Size,"71 to 335 F"
Insulation Class,F
Material,Cast Iron
Type of Motor,AC
Material,ms
Voltage,"220V"
Power,"1.5HP"
Frequency,"45Hz"
Voltage,"230V"
Usage/Application,"Create the power to run conveyors, pumps, air moving systems, and many other needs in the toughest i"
Motor Power,"1.5 HP"
Brand,Triple-D
Voltage,"220/415 V"
Mounting Type,Foot Mount
Mounting Type,Foot cum Flange Mount
No of Poles,"4"
No of Poles,"8"
Mounting Type,Flange Mount
No of Poles,"2"
Payment Term,Advance
Brand,GD Tech
Brand,CGL
Brand,BESTON
Uses,Industrial
Power,"2 hp"
Power,"2 kW"
Power,"1 HP"
Phase,Single Phase
Power,"0.5 To 5 HP"
Power,"1 HP"
Power,"1HP"
Phase,Three Phase
Power,"3 HP (2.2 kW)"
Power,"5  hp"
Speed,"1440 /2800"
Brand,nova
Brand,FENNER
Voltage,"220 V"
IP Rating,IP44
Speed,<2000 RPM
Type,Copper Motor
Mounting Type,Foot Mount
Speed,<2000 RPM
Type,Copper Motor
Type,Three Phase Electric Motor
Voltage,"415 V"
Speed,"1440 rpm"
No. of Poles,"4"
Mounting Type,Foot
Speed (RPM),"1500 RPM (4 Pole)"
Mounting Type,Foot/Flange/Face
Frame Size,"112"
Frequency,"50 Hz"
Country of Origin,Made in India
Country of Origin,Made in India
Frequency,"50 Hz"
Country of Origin,Made in India
Brand,MOHIL
Material,Cast Iron
Material,MS
Motor Type,Gear Motor
Brand,Kirloskar
Winding Material,Copper
Power Source,Electric
Frequency,"60 Hz"
Speed,"750 rpm"
Voltage,"220 V"
Mounting Type,Foot
Phase,Single-phase & Three-phase
Voltage,"220/230 V (Single-phase) 415 V (Three-phase)"
Speed (RPM),~1425–1440 RPM (4-pole) 3000 RPM (2-pole) 1000 RPM (6/8-pole)
Frequency,"50 Hz (Indian standard)"
Country Origin,Made In India
BRAND,SHUBH ELECTRICAL ENGEENIERING
COUNTRY ORIGIN,MADE IN INDIA
BRAND,SHUBH ELECTRICAL ENGEENIERING
Motor Type,AC Induction
Power Rating,"0.25 kW"
Phase,Single Phase
Power Source,Electric
Brand,Stark
Material,"Cast,Iron"
Frequency,"50,Hz"
IP Rating,IP55
Type of Motor,AC
Voltage,"415,V"
Phase,Single Phase
Color,"Black,Blue,Grey"
Warranty,"1 year"
Motor Horsepower,"3 HP"
Motor Horsepower,"5 HP"
Type of end use,Agricultural
Type of end use,Resale
Cooling Method,Water Cooled
Material of Construction,Steel
Power Source,Electric
Power,"355Kw up to 1250kW"
Power,"1000 kW"
Type,Low Voltage
Speed (RPM),"2880"
Brand,Kirloskar
Usage,Irrigation
Usage,Irrigation
Frame Size,As Per Requirement
Portable,Yes
Pipe Size,"25 x 25 mm"
Phase,Single Phase
Phase,Three Phase
Usage,Agriculture
No of Poles,"1"
No of Poles,"10"
Phase,Single Phase
RPM,From 1440 to 2800
Motor Phase,Three Phase
Material,Mild Steel
Frequency,"50-60 Hz"
Finishing,Paint Coated
No of Phase,Three Phase also available in single phase
RPM,Customized
Brand,Crompton Greaves
Brand,Any
Brand,Ferrari 458 Motor 201 44790 Kilometer 284069 Complete Engine
Phase,Single Phase
Brand,Belko
Speed,"1500 rpm"
Voltage,"440 V"
Brand,Hindustan
Usage,Used To Convey The Load To Different Areas At A Very High Speed
Mounting,"B3, B5"
Phase,Single Phase
Phase,Single Phase
Phase,Single Phase
Horsepower,"5 HP"
Phase,Single Phase
Power,"3 HP"
Power,"15HP"
Type of Motor,AC
Frequency,"50Hz"
Type of Motor,AC
Power,"201-300 KW"
No of Poles,"2"
No of Poles,"4"
Voltage,"220V"
Driver,"6 kg"
Phase,Single Phase
No of Poles,"4"
Frequency,"50 Hz"
IP Rating,IP 23
Insulation Class,E&F
Warranty,"1 Year"
Finish,Coated
IP Rating,IP55
Brand,Crompton Greaves
Type of Motor,AC
uses,recycling
size,as per customer requirement
Length,"225-257"
Power KW,"0.075-0.18"
Speed range,"60 RPM to 220 RPM"
Brand,Delta Motor
Material,Cast Iron
Frame Size,"90 to 132 F"
Bearing Type,"2 Z"
Brake Type,DC brake.
IP Rating,IP 55
Winding Wire,Copper
Phase Type,Three Phase
RPM,"1440"
Square,"20kg"
Phase,Three Phase
Type of Motor,AC
Color,Green
Power,"7.5 KW"
Power Rating,"7.5 kW"
I Deal In,New Only
Efficiency Class,IE2
Phase,Single Phase
Motor Type,AC Induction
Power Rating,"0.25 kW"
Rated Voltage,"380 V"
Motor Poles,"4 Pole"
Mounting Type,Foot Mounted
Rated Voltage,"415 V"
Motor Poles,"4 Pole"
Phase,Three Phase
Country of Origin,Made in India
Mounting Type,Foot Mounted
Motor Type,AC Induction
Number Of Poles,"4"
Efficiency Class,IE3
Enclosure,TEFC
Automation Grade,Automatic
Ingress Protection,IP54
Duty Type,S4
Voltage,"220-240 V"
Brand,kirloskar
Power,"333W"
Type of Motor,AC
Voltage,"220-440 V"
IP Rating,IP65
Power,"0.25 HP"
No of Poles,"10"
Power,"10-100 KW"
Power,"101-200 KW"
Power,"201-300 KW"
Power,"5 HP & 7.5 HP"
Phase,Three Phase
Brand,Power Marshal
Type of Motor,DC
Power,<10 KW
Brand,Krishna
Diameter,"30mm"
Type,AC
Material,Mild Steel
Usage/Application,Dust Collector
Power,"100 KW"
Material,Mild Steel
Engine Horsepower,"2 HP"
Phase,Three Phase
Ambient Temperature,"20 Deg C to 65 Deg C"
Brand,Siemens
Speed,<2000 RPM
Brand,Siemens
Power,"10-100 KW"
Power,<10 KW
Brand,INDIAN-IMPORTED
Phase,"3PHASE"
Speed,"2000-6000 RPM"
Speed,"1500 rpm"
No. of Poles,"6"
Mounting Type,Foot
Voltage,"220 V"
No. of Poles,"2"
Number Of Poles,"2"
Surface Treatment,Polished
Number Of Poles,"2"
Number Of Poles,"2"
Country of Origin,Made in India
Mounting Type,Plug-In
Type of Motor,AC
Speed,"2880 rpm"
Country of Origin,Made in India
Frequency,"50 Hz"
Speed,<2000 RPM
Speed,"2000-6000 RPM"
Speed,"6001-10000 RPM"
Number Of Poles,"2"
Warranty,"1 Year"
Bearing Lubrication,"2 RS"
Duty,S1 to S4
Weight,Approx 15 kg onwards.
I Deal In,New Only
Frequency,"60 Hz"
Usage/Application,Use As Spare Parts For Workshop Power Tools etc
Usage/Application,Vibration Motor
Material,Iron and Aluminum
Efficiency,IE3
Number Of Poles,"2"
Size,"18X16X15(LXWXB)"
Brand,R. K. Agencies & Foundry
Material,Cast Iron (Body)
Capacity,"1.5HP"
IP Rating,IP44 / IP55
Frame Size,"63 TO 455 FREAM ALL TYPE MOTORS"
Frequency,"50Hz"
Color,Orange and Silver
Features,IE2-IE3
Country of Origin,Made in India
Surface Treatment,Color Coated
Material,Mild steel
I Deal In,New Only
IP Rating,IP65
Warranty,"6 months"
Current,"7.5"
Phase,Single Phase
Usage/Application,industrial
Country of Origin,Made in India
Lead Wires,Yes
Power Source,Electric
Temperature,"150 Deg C"
Country of Origin,Made in India
Speed,"540/720/960/1440/2800 RPM"
Type of Motor,DC
Usage/Application,Industrial
Phase,"3"
Number Of Poles,"1"
Power Source,Electric
Phase,"3 ph & single ph"
Power,"3 ph & single ph"
Phase,Both
Phase,bOTH
Number Of Poles,"6"
Power Output,"1 HP (0.75 kW) to 300+ kW (common: 2 HP, 5 HP, 15 HP)"
Surface Finish,Polished
Speed,"1440 RPM"
Power Source,Electric
Rated Output,"0.18 to 500KW"
Warranty,"3 Years"
Certification,"BIS: High Efficiency (IE2) and Premium Efficiency (IE3),  CE Marking: Premium Efficiency (IE3)"
Mounting,Foot
Material,Mild Steel
Color,Blue
Usage/Application,Industry
Capacity,"5 Ton"
Frequency,"50 Hz"
Usage/Application,Industrial
Voltage,"220 V"
Color,Black
Phase,Single Phase
Phase,Single
Phase,Three Phase
Motor Type,AC Induction
Power Rating,"1.5 kW"
Phase,Three Phase
Motor Poles,"2 Pole"
Efficiency Class,IE3
Phase,"3 Phase"
Motor Type,Air Blower
Usage,"Create the power to run conveyors, pumps, air moving systems, and many other needs in the toughest i"
Speed,"1440 -2880 RPM"
Voltage,"500 - 575 V"
Speed,"2000-6000 RPM"
RPM,"5342"
Material,Cast iron
Phase,Three Phase
Warranty,"12 Months"
Head Range,"3 to 24 m"
Pipe Size,"25 x 25 mm"
HP,"0.5"
Head Range,"6 to 25 m"
Discharge In LPH,"3000 to 180"
IP Rating,IP44
No of Poles,"2"
Power Source,Electric
HP,"0.5"
Frequency,"50/60 Hz"
IP Rating,IP65
Torque,"50 Nm"
Voltage,"315 V"
No of Poles,"4"
Power,"300 KW"
Power,"0.18 HP TO 50 HP."
No of Poles,"6"
No of Poles,"10"
Phase,Single Phase
Discharge In LPH,"2220 tp 540"
Motor Horsepower,"2 HP"
Motor Horsepower,"0.5 HP,1 HP,6.5 HP,8 HP,10 HP"
Type of end use,Industrial
Type of end use,Domestic
Motor Phase,Single Phase
Cooling Method,Air Cooled
Material of Construction,Cast Iron
Frequency,"50-60 Hz"
IP Rating,IP44
Phase,Three
Speed Type,"1440 RPM"
RPM,"960 - 30000 RPM"
Power,<10 KW
Brand,HD Industries
Voltage,"230 V"
Type of Motor,AC
Phase,Single Phase
Phase,Three Phase
Type of Motor,AC
Material Of Construction,Cast Iron
Power Source,Electric
Phase,Single Phase
Phase,Single Phase
Usage,Agriculture
Type,Low Voltage
Speed (RPM),"2880"
Frequency,"50-60 Hz"
Phase,Single Phase
No of Poles,"6"
No of Poles,"8"
Voltage,"220-240 V"
Source,Electric
Power,"1.5kw"
Power Rating,"750 kw"
Efficiency,IE2
Efficiency Class,IE2
Power Rating,ALL
Motor Poles,ALL
Mounting Type,ALL
Phase,Three Phase
Ingress Protection,IP55
Duty Type,S1
Rated Voltage,"415 V"
Efficiency Class,IE2
Motor Type,AC Induction
Enclosure,TEFC
Motor Poles,"6 Pole"
Material,Cast Iron
Mounting Type,Foot Mounted
Motor Type,AC Induction
Type,Induction Motors
Phase,Three Phase
Efficiency %,"60-70"
Phase,Three Phase
Mounting Type,Foot
Power Rating,"200 kw"
Motor Type,AC Induction
I Deal In,New and Second Hand
Ingress Protection,IP55
Mounting Type,Foot Mounted
Number Of Poles,"4"
Duty Type,S1
Rated Voltage,"415 V"
Motor Poles,"4 Pole"
Efficiency Class,IE2
Enclosure,TEFC
Phase,Three Phase
